language,error_type,buggy_code,fixed_code,line_no
Python,NoError,import os\n\ndef get_path():\n    return os.getcwd()\n\nprint(get_path()),,
Java,NoError,"public class Main {\n    public static void main(String[] args) {\n        System.out.println(""Hello"");\n    }\n}",,
Java,NoError,public class Main {\n    public static void main(String[] args) {\n        int x = 10;\n        int y = 20;\n        System.out.println(x + y);\n    }\n},,
Java,NoError,"public class Main {\n    public static void main(String[] args) {\n        String name = ""Alice"";\n        System.out.println(""Hello "" + name);\n    }\n}",,
Java,NoError,"public class Main {\n    public static int add(int a, int b) {\n        return a + b;\n    }\n    public static void main(String[] args) {\n        System.out.println(add(5, 3));\n    }\n}",,
Java,NoError,public class Main {\n    public static void main(String[] args) {\n        for (int i = 0; i < 10; i++) {\n            System.out.println(i);\n        }\n    }\n},,
Java,NoError,public class Main {\n    public static void main(String[] args) {\n        int i = 0;\n        while (i < 5) {\n            System.out.println(i);\n            i++;\n        }\n    }\n},,
Java,NoError,"public class Main {\n    public static void main(String[] args) {\n        int x = 10;\n        if (x > 5) {\n            System.out.println(""Greater"");\n        }\n    }\n}",,
Java,NoError,"public class Main {\n    public static void main(String[] args) {\n        int[] numbers = {1, 2, 3, 4, 5};\n        System.out.println(numbers[0]);\n    }\n}",,
Java,NoError,"class Dog {\n    String name;\n    void bark() {\n        System.out.println(""Woof"");\n    }\n}",,
C,NoError,"#include <stdio.h>\nint main() {\n    printf(""Hello, World!\\n"");\n    return 0;\n}",,
C,NoError,"#include <stdio.h>\nint main() {\n    int x = 10;\n    int y = 20;\n    printf(""%d\\n"", x + y);\n    return 0;\n}",,
C,NoError,"#include <stdio.h>\nint add(int a, int b) {\n    return a + b;\n}\nint main() {\n    printf(""%d\\n"", add(5, 3));\n    return 0;\n}",,
C,NoError,"#include <stdio.h>\nint main() {\n    for (int i = 0; i < 10; i++) {\n        printf(""%d\\n"", i);\n    }\n    return 0;\n}",,
C,NoError,"#include <stdio.h>\nint main() {\n    int x = 10;\n    if (x > 5) {\n        printf(""Greater\\n"");\n    }\n    return 0;\n}",,
C,NoError,"#include <stdio.h>\nint main() {\n    int arr[5] = {1, 2, 3, 4, 5};\n    printf(""%d\\n"", arr[0]);\n    return 0;\n}",,
C,NoError,"#include <stdio.h>\nint main() {\n    int x = 42;\n    int *p = &x;\n    printf(""%d\\n"", *p);\n    return 0;\n}",,
C++,NoError,"#include <iostream>\nusing namespace std;\nint main() {\n    cout << ""Hello, World!"" << endl;\n    return 0;\n}",,
C++,NoError,#include <iostream>\nusing namespace std;\nint main() {\n    int x = 10;\n    int y = 20;\n    cout << x + y << endl;\n    return 0;\n},,
C++,NoError,"#include <iostream>\nusing namespace std;\nint add(int a, int b) {\n    return a + b;\n}\nint main() {\n    cout << add(5, 3) << endl;\n    return 0;\n}",,
C++,NoError,#include <iostream>\nusing namespace std;\nint main() {\n    for (int i = 0; i < 10; i++) {\n        cout << i << endl;\n    }\n    return 0;\n},,
C++,NoError,"#include <iostream>\nusing namespace std;\nclass Dog {\npublic:\n    void bark() {\n        cout << ""Woof!"" << endl;\n    }\n};\nint main() {\n    Dog d;\n    d.bark();\n    return 0;\n}",,
C++,NoError,"#include <iostream>\n#include <vector>\nusing namespace std;\nint main() {\n    vector<int> v = {1, 2, 3};\n    cout << v[0] << endl;\n    return 0;\n}",,
C++,NoError,"#include <iostream>\n#include <string>\nusing namespace std;\nint main() {\n    string name = ""Alice"";\n    cout << ""Hello "" << name << endl;\n    return 0;\n}",,
Java,NoError,"public class Hello {
    public static void main(String[] args) {
        System.out.println(""Hello World"");
    }
}",,
Java,NoError,"int sum = 0;
for (int i = 0; i < 10; i++) {
    sum += i;
}
System.out.println(sum);",,
Java,NoError,"String name = ""Alice"";
int age = 25;
System.out.println(name + "" is "" + age);",,
Java,NoError,"int[] arr = {1, 2, 3, 4, 5};
int max = arr[0];
for (int val : arr) {
    if (val > max) max = val;
}",,
Java,NoError,"public static int factorial(int n) {
    if (n <= 1) return 1;
    return n * factorial(n - 1);
}",,
Java,NoError,"import java.util.ArrayList;
ArrayList<String> list = new ArrayList<>();
list.add(""hello"");
list.add(""world"");",,
Java,NoError,"String s = ""hello"";
char[] chars = s.toCharArray();
for (char c : chars) {
    System.out.print(c + "" "");
}",,
Java,NoError,"int a = 10, b = 20;
int temp = a;
a = b;
b = temp;",,
Java,NoError,"public static boolean isPrime(int n) {
    if (n < 2) return false;
    for (int i = 2; i <= Math.sqrt(n); i++) {
        if (n % i == 0) return false;
    }
    return true;
}",,
Java,NoError,"try {
    int result = 10 / 2;
    System.out.println(result);
} catch (Exception e) {
    System.out.println(e.getMessage());
}",,
Java,NoError,"HashMap<String, Integer> map = new HashMap<>();
map.put(""one"", 1);
map.put(""two"", 2);
System.out.println(map.get(""one""));",,
C,NoError,"#include <stdio.h>
int main() {
    printf(""Hello World\n"");
    return 0;
}",,
C,NoError,"#include <stdio.h>
int main() {
    int sum = 0;
    for (int i = 0; i < 10; i++) {
        sum += i;
    }
    printf(""%d\n"", sum);
    return 0;
}",,
C,NoError,"#include <stdio.h>
int factorial(int n) {
    if (n <= 1) return 1;
    return n * factorial(n - 1);
}",,
C,NoError,"#include <stdio.h>
#include <string.h>
int main() {
    char str[] = ""hello"";
    printf(""Length: %zu\n"", strlen(str));
    return 0;
}",,
C,NoError,"#include <stdio.h>
int main() {
    int arr[] = {5, 3, 8, 1, 2};
    int n = sizeof(arr) / sizeof(arr[0]);
    for (int i = 0; i < n; i++) {
        printf(""%d "", arr[i]);
    }
    return 0;
}",,
C,NoError,"#include <stdio.h>
int max(int a, int b) {
    return (a > b) ? a : b;
}",,
C,NoError,"#include <stdio.h>
int main() {
    int a = 10, b = 20;
    int temp = a;
    a = b;
    b = temp;
    printf(""%d %d\n"", a, b);
    return 0;
}",,
C,NoError,"#include <stdio.h>
int isPrime(int n) {
    if (n < 2) return 0;
    for (int i = 2; i * i <= n; i++) {
        if (n % i == 0) return 0;
    }
    return 1;
}",,
C,NoError,"#include <stdio.h>
#include <stdlib.h>
int main() {
    int *arr = malloc(5 * sizeof(int));
    for (int i = 0; i < 5; i++) arr[i] = i;
    free(arr);
    return 0;
}",,
C,NoError,"#include <stdio.h>
void greet(const char *name) {
    printf(""Hello, %s!\n"", name);
}
int main() {
    greet(""World"");
    return 0;
}",,
C,NoError,"#include <stdio.h>
int main() {
    int x = 42;
    int *p = &x;
    printf(""Value: %d\n"", *p);
    return 0;
}",,
C,NoError,"struct Point { int x; int y; };
int main() {
    struct Point p = {3, 4};
    return 0;
}",,
C++,NoError,"#include <iostream>
using namespace std;
int main() {
    cout << ""Hello World"" << endl;
    return 0;
}",,
C++,NoError,"#include <iostream>
#include <vector>
using namespace std;
int main() {
    vector<int> v = {1, 2, 3};
    for (int x : v) cout << x << "" "";
    return 0;
}",,
C++,NoError,"#include <iostream>
using namespace std;
int factorial(int n) {
    if (n <= 1) return 1;
    return n * factorial(n - 1);
}",,
C++,NoError,"#include <iostream>
#include <string>
using namespace std;
int main() {
    string s = ""hello"";
    cout << ""Length: "" << s.length() << endl;
    return 0;
}",,
C++,NoError,"#include <iostream>
#include <algorithm>
using namespace std;
int main() {
    int arr[] = {5, 3, 8, 1};
    sort(arr, arr + 4);
    for (int x : arr) cout << x << "" "";
    return 0;
}",,
C++,NoError,"#include <iostream>
using namespace std;
class Dog {
public:
    string name;
    Dog(string n) : name(n) {}
    void bark() { cout << name << "" barks!"" << endl; }
};",,
C++,NoError,"#include <iostream>
#include <map>
using namespace std;
int main() {
    map<string, int> m;
    m[""one""] = 1;
    m[""two""] = 2;
    cout << m[""one""] << endl;
    return 0;
}",,
C++,NoError,"#include <iostream>
using namespace std;
bool isPrime(int n) {
    if (n < 2) return false;
    for (int i = 2; i * i <= n; i++)
        if (n % i == 0) return false;
    return true;
}",,
C++,NoError,"#include <iostream>
using namespace std;
int main() {
    int a = 10, b = 20;
    swap(a, b);
    cout << a << "" "" << b << endl;
    return 0;
}",,
C++,NoError,"#include <iostream>
#include <memory>
using namespace std;
int main() {
    auto ptr = make_unique<int>(42);
    cout << *ptr << endl;
    return 0;
}",,
C++,NoError,"try {
    int result = 10 / 2;
    cout << result << endl;
} catch (exception& e) {
    cout << e.what() << endl;
}",,
C++,NoError,"#include <iostream>
#include <functional>
using namespace std;
int main() {
    auto add = [](int a, int b) { return a + b; };
    cout << add(3, 4) << endl;
    return 0;
}",,
